Institution;Nom;Naam;Catégorie;Categorie;Langue;Taal;Type de tarification;Soort tarifering;Type d'accueil;Soort opvang;Statut;Status;Adresse;Adres;Code postal;Commune;Gemeente;Lien web;Weblink;Google Maps;Google Street View;Geo Point;Geo Shape;source;last_modified
Kind&Gezin;Crèche Les Apprentis ' Sages;Crèche Les Apprentis ' Sages;Crèche ou accueillant.e néerlandophone non-subventionnée;Niet-gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification libre;vrije prijs;Accueil en groupe;Groepsopvang;non-subventionné;Niet-gesubsidieerd;Rue Stuyvenbergh 33;Stuivenbergstraat 33;1020;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.337375681934672;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88798991860805%2C4.337375681934672;50.8879899186, 4.3373756819;"{""coordinates"": [4.3373756819, 50.8879899186], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;;;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil familial;Gezinsopvang;subventionné;Gesubsidieerd;Rue Bruyn 231;Bruynstraat 231;1120;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.389654511524196;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.90919233262859%2C4.389654511524196;50.9091923326, 4.3896545115;"{""coordinates"": [4.3896545115, 50.9091923326], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
ONE;Kiwidoux Ixelles;Kiwidoux Ixelles;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;chaussaˆša©e de vleurgat 277;chaussaˆša©e de vleurgat 277;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/10052355;https://my.one.be/milieu-accueil/10052355;googlemaps0%2C4.367379300000487;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.823160700002326%2C4.367379300000487;50.8231607, 4.3673793;"{""coordinates"": [4.3673793, 50.8231607], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;LE TREFLE A 4 FEUILLES III;LE TREFLE A 4 FEUILLES III;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;rue froissart 123;froissartstraat 123;1040;Bruxelles;Brussel;www.esedraservices.com;www.esedraservices.com;googlemaps0%2C4.383239335098349;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.841248787228714%2C4.383239335098349;50.8412487872, 4.3832393351;"{""coordinates"": [4.3832393351, 50.8412487872], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;;;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Accueillant.e subventionné.e;Gesubsidieerde onthaalouder;subventionné;Gesubsidieerd;rue zandbergen;rue zandbergen;1020;Bruxelles;Brussel;https://my.one.be/milieu-accueil/9736;https://my.one.be/milieu-accueil/9736;googlemaps0%2C4.35143090000049;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87098110000221%2C4.35143090000049;50.8709811, 4.3514309;"{""coordinates"": [4.3514309, 50.8709811], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Espaces Enfance 7;Espaces Enfance 7;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue des ursulines 6;ursulinenstraat 6;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/7214;https://my.one.be/milieu-accueil/7214;googlemaps0%2C4.349835641978237;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84212860029361%2C4.349835641978237;50.8421286003, 4.349835642;"{""coordinates"": [4.349835642, 50.8421286003], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Tivoli;Tivoli;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue du tivoli 13;tivolistraat 13;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.354713810105394;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87200770216075%2C4.354713810105394;50.8720077022, 4.3547138101;"{""coordinates"": [4.3547138101, 50.8720077022], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Wangari Maathai;Wangari Maathai;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue yvonne naƒa¨vejean 9;rue yvonne naƒa¨vejean 9;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.3526648000004915;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87154900000221%2C4.3526648000004915;50.871549, 4.3526648;"{""coordinates"": [4.3526648, 50.871549], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;;;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Accueillant.e subventionné.e;Gesubsidieerde onthaalouder;subventionné;Gesubsidieerd;rue bruyn nan;rue bruyn nan;1120;Bruxelles;Brussel;https://my.one.be/milieu-accueil/9168;https://my.one.be/milieu-accueil/9168;googlemaps0%2C4.38772500000049;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.90539300000215%2C4.38772500000049;50.905393, 4.387725;"{""coordinates"": [4.387725, 50.905393], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Les Jardins d'Horta CHU Brugmann;Les Jardins d'Horta CHU Brugmann;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;place arthur van gehuchten 4;arthur van gehuchtenplein 4;1020;Bruxelles;Brussel;https://my.one.be/milieu-accueil/2236;https://my.one.be/milieu-accueil/2236;googlemaps0%2C4.332828438715994;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88630472616688%2C4.332828438715994;50.8863047262, 4.3328284387;"{""coordinates"": [4.3328284387, 50.8863047262], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
