gid;gml_id;Type (code);Type;Type;Statut (code);Statut;Status;Largeur;Commune;Gemeente;Coordonnées géographiques;Geo Shape;begin_date;end_date;last_check_or_update
2752;ac.fid--5822db6_19cbcb82e55_-2b17;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;0.463;Bruxelles;Brussel;50.81606950115675, 4.376214000280437;"{""coordinates"": [[[4.376194136978397, 50.81611210827254], [4.376197007345959, 50.816101362027695], [4.376203137652622, 50.81608684468439], [4.376219417184326, 50.81605850903048], [4.376237907374542, 50.81602877018641]]], ""type"": ""MultiLineString""}";2009-06-01T02:00:00+02:00;;2024-10-28T01:00:00+01:00
320;ac.fid--5822db6_19cbcb82e55_-2b10;11;Aménagement cyclopiéton bidirectionelle;Tweerichtings gedeeld voet/fietspad;1;Existant;Bestaand;4.847;Bruxelles;Brussel;50.849112202120835, 4.338200168009916;"{""coordinates"": [[[4.338159118272021, 50.84912019310281], [4.338241217747811, 50.84910421113886]]], ""type"": ""MultiLineString""}";2020-01-01T01:00:00+01:00;;2024-10-17T02:00:00+02:00
2989;ac.fid--5822db6_19cbcb82e55_-2cda;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;1.36;Anderlecht;Anderlecht;50.8303807071473, 4.3192212813941;"{""coordinates"": [[[4.319300755064525, 50.83042367731179], [4.319141807723674, 50.8303377369828]]], ""type"": ""MultiLineString""}";;;
13;ac.fid--5822db6_19cbcb82e55_-2c51;3;Couloir ou rue bus + vélo;Fietsbusstrook;1;Existant;Bestaand;;Anderlecht;Anderlecht;50.871138225498306, 4.294917653039;"{""coordinates"": [[[4.298760449548914, 50.871728140505624], [4.297930933372793, 50.87168219511517], [4.297288875983222, 50.87164245436435], [4.296989341402539, 50.87160180945612], [4.296695950352902, 50.87155396162378], [4.29642446264974, 50.87150446353174], [4.296176632812135, 50.871451653507876], [4.295510272705229, 50.871268878816004], [4.294603664457046, 50.87095236394294], [4.294511286563624, 50.87092680828931], [4.294253419309035, 50.870854033108856], [4.294094478329852, 50.870820675042665], [4.293752507638416, 50.870753665861244], [4.293481880777524, 50.87071857328458], [4.293212548883469, 50.870695675504486], [4.292893273237602, 50.87068050532015], [4.292348395704129, 50.87068625231034], [4.29106493759622, 50.870763573434175]]], ""type"": ""MultiLineString""}";2024-01-22T01:00:00+01:00;;2024-06-01T02:00:00+02:00
4189;ac.fid--5822db6_19cbcb82e55_-2c3a;10;Piste cyclable bidirectionelle;Tweerichtingsfietspad;1;Existant;Bestaand;2.284;Anderlecht;Anderlecht;50.844137920756864, 4.300570454422209;"{""coordinates"": [[[4.300845919406796, 50.84381652245753], [4.300773678277099, 50.843894607091464], [4.30060742999678, 50.84408972972717], [4.30030109538447, 50.84446456632292]]], ""type"": ""MultiLineString""}";;;
3980;ac.fid--5822db6_19cbcb82e55_-2be3;11;Aménagement cyclopiéton bidirectionelle;Tweerichtings gedeeld voet/fietspad;1;Existant;Bestaand;2.394;Anderlecht;Anderlecht;50.84080847421976, 4.304490112531238;"{""coordinates"": [[[4.304014468969813, 50.84117494588185], [4.304071725935749, 50.84112975638012], [4.304179334938079, 50.84104649170989], [4.304340463010731, 50.84092392219319], [4.304619171502387, 50.840711907654324], [4.304963942388601, 50.840439669580995]]], ""type"": ""MultiLineString""}";2009-09-01T02:00:00+02:00;;2024-09-12T02:00:00+02:00
3298;ac.fid--5822db6_19cbcb82e55_-2bb5;2;Piste cyclable unidirectionelle;Eenrichtingsfietspad;1;Existant;Bestaand;1.78;Anderlecht;Anderlecht;50.81577177368816, 4.290585978882947;"{""coordinates"": [[[4.290122267691254, 50.8150322317383], [4.290171030970047, 50.81510900675971], [4.290251185514611, 50.815232226769076], [4.290344653418815, 50.81538013202521], [4.290406103651706, 50.815476085084775], [4.290480006677972, 50.81559102763899], [4.290516512662613, 50.81564965157282], [4.290561696194052, 50.815720159425396], [4.29061624103874, 50.815806441106666], [4.290670523932319, 50.815891293701505], [4.290690838092662, 50.81592323245972], [4.290698891822665, 50.815937648589276], [4.290705238087666, 50.81594917770165], [4.290711423903079, 50.815962327203216], [4.290719107792551, 50.81598160108287], [4.290732594225554, 50.816013604484326], [4.290749255046362, 50.816052264005], [4.290763643691356, 50.81607455157021], [4.290798897510203, 50.816128394379945], [4.290846316238209, 50.81620220583315], [4.29091004452805, 50.81630124569637], [4.290969444319852, 50.816397035979165], [4.290996701071846, 50.81644091265796], [4.291013160823263, 50.81647538352264], [4.29103190530313, 50.816520881728366]]], ""type"": ""MultiLineString""}";;;
110;ac.fid--5822db6_19cbcb82e55_-2b9d;13;Aménagement cyclopiéton unidirectionelle;Eenrichtings gedeeld voet/fietspad;1;Existant;Bestaand;4.39;Anderlecht;Anderlecht;50.86197480112184, 4.301168797518252;"{""coordinates"": [[[4.300675430692084, 50.86214883291016], [4.301076310254033, 50.861998912994984], [4.301666578545649, 50.86181361349634]]], ""type"": ""MultiLineString""}";;;
3251;ac.fid--5822db6_19cbcb82e55_-2b7b;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;0.91;Anderlecht;Anderlecht;50.870285591159615, 4.291326628293105;"{""coordinates"": [[[4.290989797163991, 50.87067726818094], [4.291027077272994, 50.87063179559822], [4.291108667219597, 50.870534870688715], [4.291156824045857, 50.87047892614343], [4.291193116708316, 50.870437128721726], [4.291224014618834, 50.87040141708153], [4.291290288143309, 50.870325768285745], [4.29133066563453, 50.87028045298187], [4.291390341502626, 50.870212521334544], [4.291423737799205, 50.870173116393445], [4.29147589758932, 50.870115483492995], [4.291527451862417, 50.870055719982595], [4.291611692292126, 50.869960736966014], [4.29163083390891, 50.86993806184017], [4.291639888342239, 50.86992770946265], [4.291646098515645, 50.86991828248957], [4.291657089234256, 50.869901431178256], [4.291661140043211, 50.86989272570353]]], ""type"": ""MultiLineString""}";;;
3324;ac.fid--5822db6_19cbcb82e55_-2b77;7;Piste cyclable marquée;Gemarkeerd fietspad;1;Existant;Bestaand;2.09;Anderlecht;Anderlecht;50.84687135113207, 4.298478440631191;"{""coordinates"": [[[4.298487119481289, 50.84697258226957], [4.298485021385031, 50.84694810989732], [4.298472270113421, 50.846799377439666], [4.298469761795968, 50.84677011999329]]], ""type"": ""MultiLineString""}";;;
