Année;Domaine;Domein;Code catégorie;Catégorie principale;Hoofdcategorie;Total global;Total commune;Total Région
2019;PE introduits;MV ingediend;161;Véhicules hors d'usage, VHU;Afgedankte voertuigen;0;0;0
2019;PE délivrés;MV afgeleverd;68;Garages, parkings;Garages, parkings;18;11;7
2019;PE délivrés;MV afgeleverd;45;Déchets dangereux (dépôt);Gevaarlijke afvalstoffen (opslag);9;1;8
2019;PE délivrés;MV afgeleverd;132;Tours de refroidissement;Koeltorens;8;0;8
2019;PE délivrés;MV afgeleverd;135;Spectacles, Salle polyvalente;Schouwspelen, polyvalente zaal;6;5;1
2019;PE délivrés;MV afgeleverd;149;Vapeur (appareils à vapeur);Stoom (stoom-toestellen);4;0;4
2019;PE délivrés;MV afgeleverd;14;Piscines, thermes, jacuzzi;Zwembaden, thermen, jacuzzi;2;1;1
2019;PE délivrés;MV afgeleverd;62;Forage;Boring;2;0;2
2019;PE délivrés;MV afgeleverd;62;Permanent, puits;Permanente, waterput;2;0;2
2019;PE délivrés;MV afgeleverd;76;Gélatine;Gelatine;0;0;0
2019;PE délivrés;MV afgeleverd;86;Laiteries;Melkerijen;0;0;0
2019;PE délivrés;MV afgeleverd;97;Métaux (traitement chimique);Metalen (chemische bewerking);0;0;0
2019;PE délivrés;MV afgeleverd;224;Garages, parkings;Garages, parkings;0;0;0
2018;PU délivrés;SV afgeleverd;13.;Placer des installations temporaires événementielles ou liées à un chantier (cfr chap. II et chap. III, section 11 de l'arrêté);Tijdelijke evenement- of bouwplaatsgebonden installaties plaatsen (cf. hfdstk. II en hfdstk. III, afdeling 11 van het besluit);14;0;14
2018;PE introduits;MV ingediend;68;Garages (couverts);Garages (overdekte);53;28;25
2018;PE introduits;MV ingediend;132;Réfrigération (installation de);Koeling (inrichtingen);52;26;26
2018;PE introduits;MV ingediend;28;Chantiers;Werven;41;41;0
2018;PE introduits;MV ingediend;101;Métaux (travail des);Metalen (bewerking);11;4;7
2018;PE introduits;MV ingediend;14;Piscines, thermes, jacuzzi;Zwembaden, thermen, jacuzzi;5;1;4
2018;PE introduits;MV ingediend;127;Produits  d'origine animale;Producten van dierlijke oorsprong;3;2;1
2018;PE introduits;MV ingediend;121;Produits dangereux, biocides;Gevaarlijke producten, biociden;1;1;0
2018;PE introduits;MV ingediend;135;Spectacles, Salle polyvalente;Schouwspelen, polyvalente zaal;1;0;1
2018;PE introduits;MV ingediend;40;Combustion, chaudières, gaz, mazout, charbon, bois, vapeur, générateurs, cogen, fours, brûleurs;Verbranding, verwarmingsinstallaties, verwarmingsketels,  gas, mazout, stookolie, steenkool, hout, stoom, generatoren, thermoblok, aerothermen, heteluchtverwarmers, WKK, cogeneratie;0;0;0
2018;PE introduits;MV ingediend;69;Gaz (butane-propane);Gas (butaan-propaan);0;0;0
2018;PE introduits;MV ingediend;114;Photo, laboratoire, développement;Foto, labo, ontwikkeling;0;0;0
2018;PE introduits;MV ingediend;179;Bassins d’orage d’eaux pluviales;Stormbekkens;0;0;0
2018;PE délivrés;MV afgeleverd;13;Automobiles (réparation);Auto's (herstellingen);16;4;12
2018;PE délivrés;MV afgeleverd;79;Hôpitaux, höpital, homes, maisons de retraite;Hospitaal, hospitalen, home, rusthuis, rust- en verzorgingstehuis;3;0;3
2018;PE délivrés;MV afgeleverd;161;Véhicules hors d'usage, VHU;Afgedankte voertuigen;3;0;3
2018;PE délivrés;MV afgeleverd;51;Collecte déchets, parc à conteneur;Inzameling afvalstoffen, containerpark;2;0;2
2018;PE délivrés;MV afgeleverd;14;Piscines;Zwembaden;0;0;0
2018;PE délivrés;MV afgeleverd;18;Menuiseries, scieries, charpenteries;Schrijnwerkerij, zagerij, timmerwerk;0;0;0
2018;PE délivrés;MV afgeleverd;48;Compacteur, broyeur;Pers, breker, vermaler;0;0;0
2018;PE délivrés;MV afgeleverd;97;Galvanisation, zinguage, chromage, électrolyse, dégraissage, décapage;Galvanisatie, verzinken, chromeren, electrolyse, ontvetting, decaperen;0;0;0
2017;PE introduits;MV ingediend;152;Véhicules (Stationnement);Voertuigen (parkeren);34;18;16
2017;PE introduits;MV ingediend;45;Déchets dangereux liquides (dépôt);Gevaarlijke afvalstoffen (opslag);7;0;7
2017;PE introduits;MV ingediend;149;Vapeur (appareils à vapeur);Stoom (stoom-toestellen);6;0;6
2017;PE introduits;MV ingediend;138;Surface (application);Oppervlakte (aanbrenging);2;0;2
2017;PE introduits;MV ingediend;57;Epices;Kruiden;1;1;0
2017;PE introduits;MV ingediend;141;Tabac (dépôts);Tabak (opslagplaat-sen);1;0;1
2017;PE introduits;MV ingediend;27;Amiante;Asbest;0;0;0
2017;PE introduits;MV ingediend;55;Electricité, pompes;Elektriciteit, pompen;0;0;0
2017;PE introduits;MV ingediend;82;Imprimerie;Drukkerijen;0;0;0
2017;PE introduits;MV ingediend;84;Laboratoires de recherche, institutions d'enseigne;Onderzoekslabo-ratoria onder-wijsinstellin-gen;0;0;0
