Année;Commune;Gemeente;Total commune;Total hommes;% Hommes;Total femmes;% Femmes;"Total niveau d'étude ""faible""";"% Niveau d'étude ""faible""";"Hommes - Niveau d’études ""faible""";"% Hommes - Niveau d’études ""faible""";"Femmes - Niveau d’études ""faible""";"% Femmes - Niveau d’études ""faible""";"Total niveau d'étude ""moyen""";"% Niveau d'étude ""moyen""";"Hommes - Niveau d’études ""moyen""";"% Hommes - Niveau d’études ""moyen""";"Femmes - Niveau d’études ""moyen""";"% Femmes - Niveau d’études ""moyen""";"Total niveau d'étude ""élevé""";"% Niveau d'étude ""élevé""";"Hommes - Niveau d’études ""élevé""";"% Hommes - Niveau d’études ""élevé""";"Femmes - Niveau d’études ""élevé""";"% Femmes - Niveau d’études ""élevé""";Total étrangers sans équivalence;% Étrangers sans équivalence;Hommes étrangers sans équivalence;% Hommes étrangers sans équivalence;Femmes étrangères sans équivalence;% Femmes étrangère sans équivalence
2019;Ganshoren;Ganshoren;1643.0;744;45.28301886792453;897;54.59525258673159;413;25.13694461351187;215;13.085818624467437;198;12.051125989044431;407;24.771758977480218;179;10.894704808277542;228;13.877054169202676;199;12.111990261716372;80;4.869141813755325;119;7.242848447961046;622;37.85757760194765;270;16.433353621424224;352;21.424223980523433
2019;Ixelles;Elsene;6155.0;3397;55.19090170593014;2758;44.80909829406986;1012;16.441917140536148;675;10.966693744922827;337;5.475223395613322;1179;19.155158407798538;657;10.674248578391552;522;8.480909829406986;1603;26.04386677497969;766;12.445166531275385;837;13.598700243704306;2361;38.35905767668562;1299;21.104792851340374;1062;17.25426482534525
2019;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek;8930.0;4847;54.277715565509524;4084;45.733482642777155;2226;24.92721164613662;1329;14.882418812989922;897;10.044792833146698;1902;21.298992161254198;914;10.235162374020156;988;11.063829787234042;721;8.073908174692049;326;3.650615901455767;395;4.4232922732362825;4082;45.711086226203804;2278;25.509518477043674;1804;20.201567749160134
2019;Saint-Gilles;Sint-Gillis;4772.0;2626;55.029337803855825;2147;44.99161777032691;868;18.189438390611905;590;12.363788767812238;278;5.825649622799665;798;16.72254819782062;431;9.031852472757754;367;7.6906957250628665;1092;22.883487007544005;492;10.310142497904442;600;12.573344509639565;2015;42.225481978206204;1113;23.32355406538139;902;18.90192791282481
2019;Uccle;Ukkel;4261.0;1932;45.341469138699836;2330;54.68199953062661;787;18.469842759915515;422;9.903778455761557;365;8.566064304153954;994;23.327857310490497;499;11.710865993898146;495;11.61699131659235;1173;27.5287491199249;468;10.983337244778221;705;16.54541187514668;1308;30.69701947899554;543;12.74348744426191;765;17.95353203473363
2018;Etterbeek;Etterbeek;3162.0;1605;50.75901328273245;1556;49.20936116382036;571;18.05819101834282;346;10.942441492726122;225;7.115749525616698;587;18.564199873497785;313;9.898798228969007;274;8.66540164452878;602;19.038583175205567;280;8.855154965211891;322;10.183428209993675;1401;44.30740037950664;666;21.062618595825427;735;23.244781783681216
2017;Bruxelles;Brussel;15180.0;8450;55.66534914361001;6731;44.34123847167326;3527;23.234519104084324;2199;14.486166007905139;1328;8.748353096179184;2915;19.202898550724637;1500;9.881422924901186;1415;9.321475625823451;1627;10.718050065876152;823;5.421607378129117;804;5.296442687747035;7112;46.851119894598156;3928;25.87615283267457;3184;20.974967061923582
2017;Etterbeek;Etterbeek;3246.0;1672;51.50955021565004;1575;48.52125693160813;620;19.100431300061615;372;11.460258780036968;248;7.640172520024646;604;18.60751694393099;316;9.73505853357979;288;8.872458410351202;607;18.699938385705483;289;8.903265557609364;318;9.796672828096119;1416;43.622920517560075;695;21.410967344423906;721;22.211953173136166
2017;Ganshoren;Ganshoren;1731.0;814;47.024841132293474;918;53.03292894280762;454;26.22761409589833;231;13.344887348353554;223;12.88272674754477;396;22.876949740034664;178;10.283073367995378;218;12.593876372039285;201;11.611785095320624;93;5.37261698440208;108;6.239168110918544;681;39.34142114384749;312;18.02426343154246;369;21.317157712305026
2017;Ixelles;Elsene;6547.0;3652;55.78127386589278;2895;44.21872613410722;1155;17.64166793951428;752;11.486176874904537;403;6.155491064609745;1281;19.56621353291584;717;10.951580876737436;564;8.614632656178403;1524;23.27783717733313;725;11.073774247747059;799;12.204062929586069;2587;39.51428135023675;1458;22.269741866503743;1129;17.244539483733007
