Classe PEB;Classe PEB principale;Émission C02 kWh/m²/an;Type;Type;Type;Catégorie de logement;Woningcategorie;Housing category;ID Lot;ID Immeuble;Adresse;Adres;Code postal;Commune;Gemeente;Quartier;Wijk;Coordonnées géographiques
C;C;25;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01314;0073;RUE DE LA  BUANDERIE 3;3 WASHUISSTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8604251, 4.3310545
C;C;25;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01318;0073;RUE DE LA  BUANDERIE 3;3 WASHUISSTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8604251, 4.3310545
C-;C;28;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01315;0073;RUE DE LA  BUANDERIE 3;3 WASHUISSTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8604251, 4.3310545
C;C;25;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01312;0073;RUE DE LA  BUANDERIE 3;3 WASHUISSTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8604251, 4.3310545
C-;C;27;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01328;0073;RUE DE LA  BUANDERIE 3;3 WASHUISSTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8604251, 4.3310545
B;B;15;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01794;0076;RUE VAN ARTEVELDE 81;81 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8474861, 4.3447966
B+;B;10;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01787;0076;RUE VAN ARTEVELDE 81;81 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8474861, 4.3447966
B;B;13;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01792;0076;RUE VAN ARTEVELDE 81;81 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8474861, 4.3447966
B+;B;10;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01783;0076;RUE VAN ARTEVELDE 81;81 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8474861, 4.3447966
B+;B;11;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01774;0076;RUE VAN ARTEVELDE 81;81 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8474861, 4.3447966
B+;B;12;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;01773;0076;RUE VAN ARTEVELDE 81;81 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8474861, 4.3447966
C-;C;28;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;02214;0092;RUE DE LA FLECHE 5;5 PIJLSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8589084, 4.3527111
C-;C;28;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;02190;0092;RUE DE LA FLECHE 5;5 PIJLSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8589084, 4.3527111
C-;C;28;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;02196;0092;RUE DE LA FLECHE 5;5 PIJLSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8589084, 4.3527111
C-;C;26;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;02671;0102;RUE DU POINCON 47;47 PRIEMSTRAAT;1000;Bruxelles;Brussel;Midi Poiçon Lemonnier;Zuid Priem Lemonnier;50.8422667, 4.3481035
